identifier	synonyms	search	citations	isAuthor	letterCnt	numCnt	totalCnt	filtered_citations	summed_citations
HMV-II	hmvii	vaginal	15	FALSE	5	0	5	15	27
HMV-II	human melanoma vagina-ii	vaginal	NA	FALSE	21	0	21	NA	27
HMV-II	hmv-ii	vaginal	10	FALSE	5	0	5	10	27
H-EMC-SS	h-emc-ss	chondrosarcoma	34	FALSE	6	0	6	34	45
H-EMC-SS	hemc-ss	chondrosarcoma	10	FALSE	6	0	6	10	45
H-EMC-SS	hemcss	chondrosarcoma	1	FALSE	6	0	6	1	45
MS751	ms-751	cervical	57	FALSE	2	3	5	57	366
SKG-IIIa	skg3a	cervical	3	FALSE	4	1	5	3	201
C-4-I	c-4 i	cervical	111	FALSE	2	1	3	111	1382
SW756	sw 756	cervical	69	FALSE	2	3	5	69	484
SiHa	siha	cervical	9790	FALSE	4	0	4	9790	9790
C-4-I	c-4-i	cervical	111	FALSE	2	1	3	111	1382
C-4-I	hs 636 t	cervical	2	FALSE	3	3	6	2	1382
C-4-I	c41	cervical	245	FALSE	1	2	3	245	1382
ME-180	me180	cervical	1020	FALSE	2	3	5	1020	2560
SKG-IIIa	skg-iiia	cervical	129	FALSE	7	0	7	129	201
ME-180	me-180	cervical	1540	FALSE	2	3	5	1540	2560
SKG-IIIa	skg iiia	cervical	129	FALSE	7	0	7	129	201
SKG-IIIa	skgiiia	cervical	41	FALSE	7	0	7	41	201
C-4-I	c-4i	cervical	134	FALSE	2	1	3	134	1382
Ca Ski	caski	cervical	6540	FALSE	5	0	5	6540	7136
ME-180	me 180	cervical	1540	FALSE	2	3	5	1540	2560
C-4-I	c4-i	cervical	216	FALSE	2	1	3	216	1382
Ca Ski	ca ski	cervical	596	FALSE	5	0	5	596	7136
C-4-I	c4 i	cervical	216	FALSE	2	1	3	216	1382
Ca Ski	ca-ski	cervical	596	FALSE	5	0	5	596	7136
MS751	ms 751	cervical	57	FALSE	2	3	5	57	366
C-4-I	c4i	cervical	107	FALSE	2	1	3	107	1382
C-4-I	c4-1	cervical	567	FALSE	1	2	3	567	1382
SW756	sw-756	cervical	69	FALSE	2	3	5	69	484
MS751	ms751	cervical	309	FALSE	2	3	5	309	366
C-4-I	hs 636.t	cervical	2	FALSE	3	3	6	2	1382
SW756	sw756	cervical	415	FALSE	2	3	5	415	484
SKG-IIIa	skg-3a	cervical	28	FALSE	4	1	5	28	201
SiSo	siso	cervical	270	FALSE	4	0	4	270	270
HeLa	he la	cervical	386	FALSE	4	0	4	386	38034
HeLa	hela	cervical	37600	FALSE	4	0	4	37600	38034
HeLa	henrietta lacks cells	cervical	36	FALSE	19	0	19	36	38034
HeLa	helacyton gartleri	cervical	12	FALSE	17	0	17	12	38034
HeLa	he-la	cervical	386	FALSE	4	0	4	386	38034
Jiyoye	jiyoye (p-2003)	lymphoma	NA	FALSE	7	4	11	NA	3817
Daudi	nk10a	lymphoma	1	FALSE	3	2	5	1	9693
Jiyoye	ob2	lymphoma	52	FALSE	2	1	3	52	3817
Daudi	daudi	lymphoma	9690	FALSE	5	0	5	9690	9693
Daudi	nk-10a	lymphoma	2	FALSE	3	2	5	2	9693
Namalwa	namalva	lymphoma	387	FALSE	7	0	7	387	3318
P32/ISH	p32-ish	lymphoma	20	FALSE	4	2	6	20	2447
Jiyoye	jiyoye	lymphoma	191	FALSE	6	0	6	191	3817
Daudi	nk 10a	lymphoma	2	FALSE	3	2	5	2	9693
Jiyoye	jijoye	lymphoma	984	FALSE	6	0	6	984	3817
EB2	epstein-barr-2	lymphoma	9	FALSE	11	1	12	9	757
Jiyoye	p3 (jiyoye)	lymphoma	2	FALSE	7	1	8	2	3817
Raji	gm04671	lymphoma	2	FALSE	2	5	7	2	16207
EB2	eb-2	lymphoma	171	FALSE	2	1	3	171	757
Namalwa	nwa	lymphoma	62	FALSE	3	0	3	NA	3318
P32/ISH	p32 ish	lymphoma	20	FALSE	4	2	6	20	2447
P32/ISH	ishida	lymphoma	12200	FALSE	6	0	6	NA	2447
P32/ISH	p32	lymphoma	2420	FALSE	1	2	3	2420	2447
Jiyoye	p-3j	lymphoma	12	FALSE	2	1	3	12	3817
Jiyoye	p-2003	lymphoma	2140	FALSE	1	4	5	2140	3817
Jiyoye	jiyoyep-2003	lymphoma	1	FALSE	7	4	11	1	3817
Jiyoye	p3j	lymphoma	435	FALSE	2	1	3	435	3817
Raji	raji	lymphoma	16200	FALSE	4	0	4	16200	16207
Raji	p1-raji	lymphoma	5	FALSE	5	1	6	5	16207
P32/ISH	p32/ishida	lymphoma	7	FALSE	7	2	9	7	2447
EB3 [Human Burkitt lymphoma]	epstein-barr-3	lymphoma	8	FALSE	11	1	12	8	314
EB3 [Human Burkitt lymphoma]	eb3 [human burkitt lymphoma]	lymphoma	1	FALSE	22	1	23	1	314
Daudi	gm17346	lymphoma	NA	FALSE	2	5	7	NA	9693
Namalwa	nk62a	lymphoma	1	FALSE	3	2	5	1	3318
Daudi	gm03190a	lymphoma	NA	FALSE	3	5	8	NA	9693
Jiyoye	gm04678	lymphoma	1	FALSE	2	5	7	1	3817
EB2	eb2	lymphoma	577	FALSE	2	1	3	577	757
EB3 [Human Burkitt lymphoma]	eb-3	lymphoma	305	FALSE	2	1	3	305	314
Jiyoye	p3-jiyoye	lymphoma	2	FALSE	7	1	8	2	3817
P32/ISH	p32/ish	lymphoma	20	FALSE	4	2	6	20	2447
Daudi	gm3190	lymphoma	NA	FALSE	2	4	6	NA	9693
Jiyoye	jiyoye(p-2003)	lymphoma	NA	FALSE	7	4	11	NA	3817
Daudi	gm03190	lymphoma	NA	FALSE	2	5	7	NA	9693
EB3 [Human Burkitt lymphoma]	gm04679	lymphoma	1	FALSE	2	5	7	1	314
Namalwa	namalwa	lymphoma	2930	FALSE	7	0	7	2930	3318
BPH-1	bph-1	prostate	1590	FALSE	3	1	4	1590	2004
BPH-1	bph1	prostate	414	FALSE	3	1	4	414	2004
BL-70	iarc bl 70	burkitt	NA	FALSE	6	2	8	NA	85
BL-41	iarc bl 41	burkitt	7	FALSE	6	2	8	7	1064
Ramos.2G6.4C10	ramos.2g6.4c10	burkitt	3	FALSE	7	5	12	3	3
BL-41	iarc-bl-41	burkitt	7	FALSE	6	2	8	7	1064
Ramos.2G6.4C10	ramos2g64c10	burkitt	NA	FALSE	7	5	12	NA	3
BL-70	bl-70	burkitt	40	FALSE	2	2	4	40	85
ST486	st 486	burkitt	34	FALSE	2	3	5	34	237
ST486	st486	burkitt	203	FALSE	2	3	5	203	237
CA46	ca46	burkitt	606	FALSE	2	2	4	606	763
DG-75	dg-75	burkitt	479	FALSE	2	2	4	479	1269
BL-41	bl 41	burkitt	244	FALSE	2	2	4	244	1064
BL-70	iarc/bl70	burkitt	NA	FALSE	6	2	8	NA	85
CA46	ca-46	burkitt	157	FALSE	2	2	4	157	763
Ramos.2G6.4C10	ramos g6.c10	burkitt	NA	FALSE	7	3	10	NA	3
DG-75	dg75	burkitt	790	FALSE	2	2	4	790	1269
BL-70	iarc/bl 70	burkitt	NA	FALSE	6	2	8	NA	85
Ramos.2G6.4C10	ramos-2g6-4c10	burkitt	3	FALSE	7	5	12	3	3
BL-70	iarc bl70	burkitt	NA	FALSE	6	2	8	NA	85
DG-75	d.g.-75	burkitt	479	FALSE	2	2	4	479	1269
MN-60	mn 60	burkitt	42	FALSE	2	2	4	42	54
Ramos.2G6.4C10	ramos.g6.c10	burkitt	NA	FALSE	7	3	10	NA	3
BL-41	bl-41	burkitt	244	FALSE	2	2	4	244	1064
MN-60	mn-60	burkitt	42	FALSE	2	2	4	42	54
BL-70	bl 70	burkitt	40	FALSE	2	2	4	40	85
BL-70	iarc-bl70	burkitt	NA	FALSE	6	2	8	NA	85
BL-70	bl70	burkitt	45	FALSE	2	2	4	45	85
CA46	ca 46	burkitt	157	FALSE	2	2	4	157	763
MN-60	mn60	burkitt	12	FALSE	2	2	4	12	54
Ramos.2G6.4C10	ramos 2g6.4c10	burkitt	3	FALSE	7	5	12	3	3
BL-41	iarc bl41	burkitt	14	FALSE	6	2	8	14	1064
DG-75	dg 75	burkitt	479	FALSE	2	2	4	479	1269
BL-41	iarc/bl41	burkitt	14	FALSE	6	2	8	14	1064
Ramos.2G6.4C10	ramos 2g6 4c10	burkitt	3	FALSE	7	5	12	3	3
BL-41	bl41	burkitt	799	FALSE	2	2	4	799	1064
BL-41	iarc-bl41	burkitt	14	FALSE	6	2	8	14	1064
BL-41	iarc/bl 41	burkitt	7	FALSE	6	2	8	7	1064
NCI-H1650	nci-h1650	lung	650	FALSE	4	4	8	650	3075
NCI-H1666	ncih1666	lung	7	FALSE	4	4	8	7	448
NCI-H322M	h322m	lung	987	FALSE	2	3	5	987	1896
NCI-H1650	h1650	lung	2360	FALSE	1	4	5	2360	3075
SW1573	sw-1573	lung	485	FALSE	2	4	6	485	1068
NCI-H1650	ncih1650	lung	16	FALSE	4	4	8	16	3075
NCI-H1781	ncih1781	lung	4	FALSE	4	4	8	4	256
NCI-H358	h-358	lung	112	FALSE	1	3	4	112	5071
NCI-H1666	h-1666	lung	13	FALSE	1	4	5	13	448
NCI-H1666	h1666	lung	301	FALSE	1	4	5	301	448
NCI-H358	nci-h358	lung	1060	FALSE	4	3	7	1060	5071
NCI-H1781	nci-h1781	lung	79	FALSE	4	4	8	79	256
NCI-H1650	h-1650	lung	49	FALSE	1	4	5	49	3075
NCI-H1781	h-1781	lung	4	FALSE	1	4	5	4	256
SW1573	sw 1573	lung	485	FALSE	2	4	6	485	1068
NCI-H322M	nci.h322m	lung	902	FALSE	5	3	8	902	1896
NCI-H358	h358	lung	3870	FALSE	1	3	4	3870	5071
NCI-H322M	nci-h322m	lung	902	FALSE	5	3	8	902	1896
NCI-H322M	h-322m	lung	7	FALSE	2	3	5	7	1896
SW1573	sw1573	lung	583	FALSE	2	4	6	583	1068
NCI-H1666	nci-h1666	lung	127	FALSE	4	4	8	127	448
NCI-H1650	h1650_co	lung	NA	FALSE	3	4	7	NA	3075
NCI-H358	ncih358	lung	29	FALSE	4	3	7	29	5071
NCI-H1781	h1781	lung	173	FALSE	1	4	5	173	256
NCI-H1666	h1666_da	lung	NA	FALSE	3	4	7	NA	448
CAL-12T	cal 12t	non-small cell lung	28	FALSE	4	2	6	28	46
NCI-H1770	ncih1770	non-small cell lung	1	FALSE	4	4	8	1	148
CAL-12T	cal12t	non-small cell lung	12	FALSE	4	2	6	12	46
NCI-H2444	h-2444	non-small cell lung	2	FALSE	1	4	5	2	55
HOP-92	hop92	non-small cell lung	92	FALSE	3	2	5	92	1172
NCI-H1915	ncih1915	non-small cell lung	5	FALSE	4	4	8	5	97
HOP-92	hopkins-92	non-small cell lung	NA	FALSE	7	2	9	NA	1172
NCI-H2110	nci-h2110	non-small cell lung	27	FALSE	4	4	8	27	75
EMC-BAC-2	emc-bac-2	non-small cell lung	2	FALSE	6	1	7	2	2
EMC-BAC-1	emc-bac-1	non-small cell lung	NA	FALSE	6	1	7	NA	NA
NCI-H1770	nci-h1770	non-small cell lung	44	FALSE	4	4	8	44	148
HOP-92	hop-92	non-small cell lung	1080	FALSE	3	2	5	1080	1172
NCI-H1770	h1770	non-small cell lung	103	FALSE	1	4	5	103	148
NCI-H1915	h1915	non-small cell lung	63	FALSE	1	4	5	63	97
NCI-H2135	ncih2135	non-small cell lung	6	FALSE	4	4	8	6	20
NCI-H2444	h2444	non-small cell lung	40	FALSE	1	4	5	40	55
NCI-H2135	nci-h2135	non-small cell lung	4	FALSE	4	4	8	4	20
NCI-H2135	h2135	non-small cell lung	10	FALSE	1	4	5	10	20
CAL-12T	cal 12	non-small cell lung	6	FALSE	3	2	5	6	46
HOP-92	hop 92	non-small cell lung	1080	FALSE	3	2	5	1080	1172
CAL-12T	cal-12t	non-small cell lung	28	FALSE	4	2	6	28	46
NCI-H1770	h-1770	non-small cell lung	1	FALSE	1	4	5	1	148
NCI-H2135	h-2135	non-small cell lung	NA	FALSE	1	4	5	NA	20
NCI-H2444	nci-h2444	non-small cell lung	13	FALSE	4	4	8	13	55
NCI-H2172	ncih2172	non-small cell lung	3	FALSE	4	4	8	3	57
NCI-H2172	h2172	non-small cell lung	42	FALSE	1	4	5	42	57
NCI-H2444	ncih244	non-small cell lung	NA	FALSE	4	3	7	NA	55
EMC-BAC-1	emcbac1	non-small cell lung	NA	FALSE	6	1	7	NA	NA
NCI-H2110	h2110	non-small cell lung	45	FALSE	1	4	5	45	75
NCI-H2110	h-2110	non-small cell lung	NA	FALSE	1	4	5	NA	75
EMC-BAC-2	emcbac2	non-small cell lung	NA	FALSE	6	1	7	NA	2
NCI-H1915	nci-h1915	non-small cell lung	25	FALSE	4	4	8	25	97
CAL-12T	centre antoine lacassagne-12t	non-small cell lung	NA	FALSE	24	2	26	NA	46
NCI-H1915	h-1915	non-small cell lung	4	FALSE	1	4	5	4	97
NCI-H2172	nci-h2172	non-small cell lung	11	FALSE	4	4	8	11	57
BEN	ben	non-small cell lung	13100	FALSE	3	0	3	NA	NA
NCI-H2172	h-2172	non-small cell lung	1	FALSE	1	4	5	1	57
NCI-H2110	ncih2110	non-small cell lung	3	FALSE	4	4	8	3	75
A-388	a-388	squamous	25	FALSE	1	3	4	25	44
A-388	a388	squamous	19	FALSE	1	3	4	19	44
CHSA0108	chsa0108	sarcoma	NA	FALSE	4	4	8	NA	NA
CS-1 [Human chondrosarcoma]	cs-1 [human chondrosarcoma]	sarcoma	2	FALSE	21	1	22	2	433
CS-1 [Human chondrosarcoma]	cs1	sarcoma	428	FALSE	2	1	3	428	433
CHSA8926	chsa8926	sarcoma	NA	FALSE	4	4	8	NA	NA
CHSA8926	chsa 8926	sarcoma	NA	FALSE	4	4	8	NA	NA
CHSA0011	chsa0011	sarcoma	NA	FALSE	4	4	8	NA	NA
CHSA0011	chsa 0011	sarcoma	NA	FALSE	4	4	8	NA	NA
CS-1 [Human chondrosarcoma]	chsa cell line	sarcoma	3	FALSE	12	0	12	3	433
CHSA0108	chsa 0108	sarcoma	NA	FALSE	4	4	8	NA	NA
DiFi	difi	colorectal	692	FALSE	4	0	4	692	692
CFPAC-1	cfpac1	pancreatic	365	FALSE	5	1	6	365	4368
CFPAC-1	cf pac1	pancreatic	27	FALSE	5	1	6	27	4368
CFPAC-1	cfpac-1	pancreatic	1820	FALSE	5	1	6	1820	4368
CFPAC-1	cf-pac1	pancreatic	27	FALSE	5	1	6	27	4368
CFPAC-1	cfpac	pancreatic	2100	FALSE	5	0	5	2100	4368
CFPAC-1	cf pac-1	pancreatic	56	FALSE	5	1	6	56	4368
CMK	cmk	leukemia	1690	FALSE	3	0	3	NA	NA
HT-1080	ht-1080	sarcoma	2410	FALSE	2	4	6	2410	5813
HT-1080	ht 1080.t	sarcoma	3	FALSE	3	4	7	3	5813
HT-1080	ht 1080	sarcoma	2410	FALSE	2	4	6	2410	5813
Hs 633.T	hs633t	sarcoma	6	FALSE	3	3	6	6	49
Hs 633.T	mba/8387	sarcoma	NA	FALSE	3	4	7	NA	49
Hs 633.T	8387	sarcoma	300	FALSE	0	4	4	NA	49
Hs 633.T	hs-633t	sarcoma	6	FALSE	3	3	6	6	49
SW684	sw-684	sarcoma	30	FALSE	2	3	5	30	81
Hs 633.T	hs 633t	sarcoma	6	FALSE	3	3	6	6	49
Hs 633.T	hs 8387	sarcoma	1	FALSE	2	4	6	1	49
Hs 633.T	hs 633.t	sarcoma	NA	FALSE	3	3	6	NA	49
SW684	sw 684	sarcoma	30	FALSE	2	3	5	30	81
HT-1080	ht1080	sarcoma	3400	FALSE	2	4	6	3400	5813
SW684	sw684	sarcoma	51	FALSE	2	3	5	51	81
Hs 633.T	mb 8387	sarcoma	2	FALSE	2	4	6	2	49
Hs 633.T	line 8387	sarcoma	40	FALSE	4	4	8	40	49
U-87MG ATCC	87mg	glioblastoma	1590	FALSE	2	2	4	1590	46088
DBTRG-05MG	dbtrg.05mg	glioblastoma	504	FALSE	7	2	9	504	1274
U-87MG ATCC	87 mg	glioblastoma	2730	FALSE	2	2	4	2730	46088
42-MG-BA	42-mg-ba	glioblastoma	66	FALSE	4	2	6	66	98
SF295	sf 295	glioblastoma	535	FALSE	2	3	5	535	871
T98G	t-98g	glioblastoma	133	FALSE	2	2	4	133	8548
T98G	t98 g	glioblastoma	186	FALSE	2	2	4	186	8548
D-245MG	d-245 mg	glioblastoma	41	FALSE	3	3	6	41	75
T98G	t98g	glioblastoma	8210	FALSE	2	2	4	8210	8548
D-392MG	d392mg	glioblastoma	4	FALSE	3	3	6	4	6
CAS-1	cas-1	glioblastoma	47	FALSE	3	1	4	47	100
Onda 11	case 3	glioblastoma	645	FALSE	4	1	5	645	6286
U-87MG ATCC	u-87	glioblastoma	3990	FALSE	1	2	3	3990	46088
YKG-1	ykg1	glioblastoma	36	FALSE	3	1	4	36	89
A-172	a172	glioblastoma	5540	FALSE	1	3	4	5540	6563
SF126	sf126	glioblastoma	242	FALSE	2	3	5	242	341
LN-405	ln405	glioblastoma	82	FALSE	2	3	5	82	119
A-172	a-172	glioblastoma	990	FALSE	1	3	4	990	6563
KNS-42	kns42	glioblastoma	161	FALSE	3	2	5	161	237
U-87MG ATCC	u-87 mg	glioblastoma	2560	FALSE	3	2	5	2560	46088
U-87MG ATCC	u87 mg	glioblastoma	4430	FALSE	3	2	5	4430	46088
GaMG	gamg	glioblastoma	250	FALSE	4	0	4	250	267
D-502MG	d-502 mg	glioblastoma	1	FALSE	3	3	6	1	5
U-87MG ATCC	u-87mg atcc	glioblastoma	38	FALSE	7	2	9	38	46088
D-423MG	d-423 mg	glioblastoma	1	FALSE	3	3	6	1	12
D-423MG	d423mg	glioblastoma	5	FALSE	3	3	6	5	12
D-542MG	d-542mg	glioblastoma	6	FALSE	3	3	6	6	7
T98G	t 98 g	glioblastoma	19	FALSE	2	2	4	19	8548
YH-13	yh-13	glioblastoma	19	FALSE	2	2	4	19	19
D-245MG	d245mg	glioblastoma	11	FALSE	3	3	6	11	75
U-87MG ATCC	u-87mg	glioblastoma	1550	FALSE	3	2	5	1550	46088
KNS-42	kns-42	glioblastoma	76	FALSE	3	2	5	76	237
DBTRG-05MG	dbtrg-05mg	glioblastoma	504	FALSE	7	2	9	504	1274
D-502MG	d502mg	glioblastoma	NA	FALSE	3	3	6	NA	5
SF295	sf295	glioblastoma	336	FALSE	2	3	5	336	871
CAS-1	cas1	glioblastoma	53	FALSE	3	1	4	53	100
A-172	a-172 mg	glioblastoma	23	FALSE	3	3	6	23	6563
SF295	sf-295	glioblastoma	535	FALSE	2	3	5	535	871
KS-1 [Human glioblastoma]	ks-1 [human glioblastoma]	glioblastoma	1	FALSE	19	1	20	1	1
D-542MG	d542mg	glioblastoma	1	FALSE	3	3	6	1	7
DK-MG	dkmg	glioblastoma	41	FALSE	4	0	4	41	96
M059J	m059j	glioblastoma	668	FALSE	2	3	5	668	922
D-502MG	d-502mg	glioblastoma	4	FALSE	3	3	6	4	5
D-245MG	d245 mg	glioblastoma	8	FALSE	3	3	6	8	75
8-MG-BA	8mgba	glioblastoma	38	FALSE	4	1	5	38	114
KNS-81-FD	kns-81-fd	glioblastoma	3	FALSE	5	2	7	3	3
Onda 10	no.10	glioblastoma	5650	FALSE	2	2	4	5650	5911
D-263MG	d-263 mg	glioblastoma	19	FALSE	3	3	6	19	32
GMS-10	gms-10	glioblastoma	15	FALSE	3	2	5	15	26
LN-18	ln18	glioblastoma	1120	FALSE	2	2	4	1120	1886
Onda 11	onda 11	glioblastoma	11	FALSE	4	2	6	11	6286
Onda 10	onda 10	glioblastoma	2	FALSE	4	2	6	2	5911
LN-229	ln 229	glioblastoma	860	FALSE	2	3	5	860	3474
U-87MG ATCC	u87	glioblastoma	17500	FALSE	1	2	3	17500	46088
SF126	sf-126	glioblastoma	99	FALSE	2	3	5	99	341
D-423MG	d-423mg	glioblastoma	6	FALSE	3	3	6	6	12
D-392MG	d-392mg	glioblastoma	2	FALSE	3	3	6	2	6
LN-18	ln018	glioblastoma	3	FALSE	2	3	5	3	1886
LN-18	ln 18	glioblastoma	763	FALSE	2	2	4	763	1886
M059J	mo59j	glioblastoma	254	FALSE	3	2	5	254	922
DK-MG	dk-mg	glioblastoma	55	FALSE	4	0	4	55	96
42-MG-BA	42mgba	glioblastoma	32	FALSE	4	2	6	32	98
D-245MG	d-245mg	glioblastoma	15	FALSE	3	3	6	15	75
AM-38	am38	glioblastoma	33	FALSE	2	2	4	33	110
D-392MG	d-392 mg	glioblastoma	2	FALSE	3	3	6	2	6
SNB-75	snb.75	glioblastoma	217	FALSE	3	2	5	217	316
SNB-75	snb-75	glioblastoma	217	FALSE	3	2	5	217	316
D-336MG	d-336 mg	glioblastoma	1	FALSE	3	3	6	1	8
KALS-1	kals-1	glioblastoma	25	FALSE	4	1	5	25	36
A-172	a 172	glioblastoma	990	FALSE	1	3	4	990	6563
KALS-1	kals1	glioblastoma	11	FALSE	4	1	5	11	36
AM-38	am	glioblastoma	NA	FALSE	2	0	2	NA	110
AM-38	am-38	glioblastoma	77	FALSE	2	2	4	77	110
LN-229	ln-229	glioblastoma	860	FALSE	2	3	5	860	3474
D-566MG	d566mg	glioblastoma	4	FALSE	3	3	6	4	7
U-87MG ATCC	u87mg	glioblastoma	11700	FALSE	3	2	5	11700	46088
DBTRG-05MG	dbtrg05mg	glioblastoma	26	FALSE	7	2	9	26	1274
T98G	t98-g	glioblastoma	186	FALSE	2	2	4	186	8548
LN-18	ln-18	glioblastoma	763	FALSE	2	2	4	763	1886
SF126	sf 126	glioblastoma	99	FALSE	2	3	5	99	341
A-172	a-172mg	glioblastoma	10	FALSE	3	3	6	10	6563
M059J	mo 59j	glioblastoma	NA	FALSE	3	2	5	NA	922
LN-229	lnt-229	glioblastoma	144	FALSE	3	3	6	144	3474
LN-229	ln229	glioblastoma	2470	FALSE	2	3	5	2470	3474
Onda 10	case 6	glioblastoma	259	FALSE	4	1	5	259	5911
GaMG	ga-mg	glioblastoma	17	FALSE	4	0	4	17	267
Onda 11	no-11	glioblastoma	5630	FALSE	2	2	4	5630	6286
D-336MG	d336mg	glioblastoma	3	FALSE	3	3	6	3	8
YKG-1	ykg-1	glioblastoma	53	FALSE	3	1	4	53	89
YH-13	yh	glioblastoma	NA	FALSE	2	0	2	NA	19
GB-1	gb-1	glioblastoma	156	FALSE	2	1	3	156	156
LN-405	ln-405	glioblastoma	37	FALSE	2	3	5	37	119
8-MG-BA	8-mg-ba	glioblastoma	76	FALSE	4	1	5	76	114
D-566MG	d-566mg	glioblastoma	3	FALSE	3	3	6	3	7
GB-1	gb1	glioblastoma	156	FALSE	2	1	3	156	156
D-336MG	d-336mg	glioblastoma	4	FALSE	3	3	6	4	8
DBTRG-05MG	dbtrg	glioblastoma	744	FALSE	5	0	5	744	1274
